Author,Year,Data Source,Pesticide,Pesttype,Duration,Concentration,Kingdom,Phylum,Class,Order,Family,Genus,Species,Originalspeciesprovided,Core,Control,Treatment,Percentchange,Log2fold.change,All.Logs,Type,Sig,,,,
Rouze et al ,2019,Fig. 2A,Fipronil,Insecticide,15 days,1 µg/kg,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,,N,,,,-0.1356,-0.1356,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2N,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,1873149.333,1704851.444,-0.0898475558,,-0.135819888,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2J,Glyphosate,Herbicide,15 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,11471632.16,10440934.05,-0.0898475558,,-0.135819888,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2M,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,1653598.365,1504784.824,-0.0899937636,,-0.136051663,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2B,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,15485718.13,14084499.5,-0.0904845756,,-0.13682999,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2B,Glyphosate,Herbicide,20 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,15485718.13,14084499.5,-0.0904845756,,-0.13682999,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2B,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,7724526.253,7025575.774,-0.0904845756,,-0.13682999,Noncomp,All,,,,
Blot et al ,2019,Fig. 1,Glyphosate,Herbicide,15 days,1.5 mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,,,,-0.1373,-0.1373,Noncomp,All,,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,20 mg/L,Bacteria,Chloroflexi,,,,,KD4-96,,N,1.041,0.946,-0.0909090909,,-0.137503524,Comp,All,,,,
Kakumanu et al,2016,Fig. 2,Coumaphos,Insecticide,6 weeks,,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,,,Y,41.21,37.38,-0.0929386071,,-0.140727895,Comp,All,,,,
Paris et al ,2020,Fig. S5,Boscalid,Fungicide,17 days,100 µg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,,N,21.6330859,19.61823966,-0.0931372549,,-0.141043881,Comp,All,,,,
Blot et al ,2019,Fig. 1,AMPA ,Herbicide,15 days,7.5 mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,,,,-0.1419,-0.1419,Noncomp,All,,,,
Motta et al ,2020,Fig. S6F,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,2251738.667,2038696.221,-0.0946124205,,-0.14339258,Noncomp,All,,,,
Motta et al ,2020,Fig. S6D,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,5201336.669,4699912.885,-0.0964028702,,-0.146248407,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1L,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,42.27330779,38.18646232,-0.0966767372,,-0.146685733,Comp,All,,,,
Motta and Moran,2020,Fig. S1B,Glyphosate,Herbicide,20 days,0.01mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,28.75,25.96153846,-0.0969899666,,-0.147186077,Comp,All,,,,
Jones et al ,2018,Table S2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Gilliamella apicola,,Y,,,,-0.15,-0.15,Comp,All,,,,
Motta and Moran,2020,Fig. S1B,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,24.61538462,22.21153846,-0.0976562500,,-0.148250959,Comp,All,,,,
Motta and Moran,2020,Fig. S1G,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,4.803767661,4.332810047,-0.0980392157,,-0.148863386,Comp,All,,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,15 days,1 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Saccharibacter,,,N,0.011049724,0.009944751,-0.1000000000,,-0.152003093,Comp,All,,,,
Motta et al ,2018,Fig. 1B,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,2847896.44,2556634.304,-0.1022727273,,-0.15565087,Noncomp,All,,,,
Kakumanu et al,2016,Fig. 2,Tau-fluvalinate,Insecticide,7 weeks,,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,,,Y,41.21,36.93,-0.1038582868,,-0.158201201,Comp,All,,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,4 mg/L,Bacteria,Acidobacteria,Blastocatellia,,,,,,N,3.595,3.217,-0.1052631579,,-0.160464672,Comp,All,,,,
Motta et al ,2020,Fig. 5B,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,2635774.351,2356580.072,-0.1059249548,,-0.161532164,Noncomp,All,,,,
Motta et al ,2018,Fig. 1B,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,1212903.226,1083870.968,-0.1063829787,,-0.162271429,Noncomp,All,,,,
DeGrandi Hoffman et al,2017,Fig. 1,Pristine,Fungicide,21 days,1990ppb,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,Alpha 2.1,,N,0.97,0.866,-0.1072164948,,-0.163617722,Comp,All,,,,
Motta et al ,2020,Fig. S4D,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,5398348.073,4806876.144,-0.1095653561,,-0.167418371,Noncomp,All,,,,
Liu et al ,2019,Fig. 2C,Thiacloprid,Insecticide,13 days,0.6 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,84501347.71,75202156.33,-0.1100478469,,-0.168200321,Noncomp,All,,,,
Motta et al ,2020,Fig. S4E,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,Lactobacillus apis,Y,1378108.517,1226331.097,-0.1101345926,,-0.168340951,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2O,Glyphosate,Herbicide,10 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1263347.551,1123987.344,-0.1103102673,,-0.168625792,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2I,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,6591445.535,5837899.18,-0.1143218662,,-0.175145594,Noncomp,All,,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,15 days,1 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0.222099448,0.196685083,-0.1144278607,,-0.17531826,Comp,All,,,,
Motta et al ,2020,Fig. 5B,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,2635774.351,2332714.844,-0.1149793066,,-0.176216906,Noncomp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bombella,,,N,0.0095,0.0084,-0.1157894737,,-0.177538186,Comp,All,,,,
Motta et al ,2020,Fig. S6D,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,6370379.129,5632564.328,-0.1158196061,,-0.177587351,Noncomp,All,,,,
Motta et al ,2020,Fig. S6D,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,6370379.129,5632564.328,-0.1158196061,,-0.177587351,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2E,Glyphosate,Herbicide,20 days,1.0mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,1728495.135,1.53E+06,-0.1165370506,,-0.178758463,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2F,Glyphosate,Herbicide,10 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,1323188.207,1168335.485,-0.1170300045,,-0.179563681,Noncomp,All,,,,
Blot et al ,2019,Fig. 1,Glyphosate,Herbicide,15 days,1.5 mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,,,,-0.1803,-0.1803,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2B,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,15485718.13,13646190.88,-0.1187886311,,-0.182439987,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1E,Glyphosate,Herbicide,20 days,0.01mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,1.572327044,1.383647799,-0.1200000000,,-0.184424571,Comp,All,,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,0.8 mg/L,Bacteria,Bacteroidetes,Bacteroidia,,,,,,N,7.758,6.812,-0.1219512195,,-0.187627003,Comp,All,,,,
Blot et al ,2019,Fig. 1,Glyphosate,Herbicide,15 days,1.5 mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,,,,-0.1935,-0.1935,Noncomp,All,,,,
Rouze et al ,2019,Fig. 2A,Fipronil,Insecticide,18 days,0.25 µg/kg,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,,N,,,,-0.1949,-0.1949,Noncomp,All,,,,
Raymann et al,2018,Fig. S1B,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,N,6031553.398,5266990.291,-0.1267605634,,-0.195550809,Noncomp,All,,,,
Motta et al ,2020,Fig. S5I,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,,N,2791911.447,2437166.758,-0.1270615833,,-0.196048215,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1L,Glyphosate,Herbicide,10 days,0.04mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,37.16475096,32.43933589,-0.1271477663,,-0.196190656,Comp,All,,,,
Motta et al ,2020,Fig. S4D,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,5679498.474,4948372.901,-0.1287306574,,-0.198809315,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1A,Glyphosate,Herbicide,20 days,0.01mM,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,13.4992224,11.75738725,-0.1290322581,,-0.199308808,Comp,All,,,,
Motta and Moran,2020,Fig. S1G,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,5.086342229,4.42700157,-0.1296296296,,-0.20029865,Comp,All,,,,
Motta and Moran,2020,Fig. S1G,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,5.086342229,4.42700157,-0.1296296296,,-0.20029865,Comp,All,,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,20 mg/L,Bacteria,Actinobacteria,,,,,,,Y,6.528,5.676,-0.1304347826,,-0.201633861,Comp,All,,,,
Motta et al ,2020,Fig. S6I,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,27.71711933,24.08127013,-0.1311770232,,-0.202865838,Noncomp,All,,,,
Motta et al ,2020,Fig. S6I,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,27.71711933,24.08127013,-0.1311770232,,-0.202865838,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2N,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,2794713.6,2426657.689,-0.1316971839,,-0.203729832,Noncomp,All,,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,0.35599022,0.309046455,-0.1318681319,,-0.204013892,Comp,All,,,,
Motta and Moran,2020,Fig. S2M,Glyphosate,Herbicide,5 days,0.01mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,1653598.365,1435478.152,-0.1319064030,,-0.204077494,Noncomp,All,,,,
Raymann et al,2018,Fig. S1B,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,N,9641990.291,8367718.447,-0.1321585903,,-0.204496668,Noncomp,All,,,,
Motta et al ,2018,Fig. 1B,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,Frischella perrara,,N,1161290.323,1006451.613,-0.1333333333,,-0.206450877,Noncomp,All,,,,
Motta et al ,2020,Fig. S4A,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,855918.5375,740234.5802,-0.1351576724,,-0.209490961,Noncomp,All,,,,
Motta et al ,2018,Fig. S10,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,2677824.268,2315202.232,-0.1354166667,,-0.209923069,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2I,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,7442258.404,6433330.342,-0.1355674591,,-0.210174713,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2I,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,6591445.535,5697860.012,-0.1355674591,,-0.210174713,Noncomp,All,,,,
Raymann et al,2018,Fig. S1B,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,4580419.58,3951048.951,-0.1374045802,,-0.213244039,Noncomp,All,,,,
Blot et al ,2019,Fig. 1,AMPA ,Herbicide,15 days,7.5 mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,,,,-0.22,-0.22,Noncomp,All,,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0.26519337,0.227624309,-0.1416666667,,-0.220390068,Comp,All,,,,
Motta and Moran,2020,Fig. S2A,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,2590200.205,2221604.092,-0.1423041014,,-0.221461873,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2G,Glyphosate,Herbicide,20 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,989795.9148,848653.7063,-0.1425972833,,-0.221955107,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1C,Glyphosate,Herbicide,20 days,0.01mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,34.49920509,29.57074722,-0.1428571429,,-0.222392421,Comp,All,,,,
Motta and Moran,2020,Fig. S1K,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,24.81389578,21.24069479,-0.1440000000,,-0.224317298,Comp,All,,,,
Motta and Moran,2020,Fig. S2F,Glyphosate,Herbicide,20 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,3471686.819,2971481.105,-0.1440814625,,-0.224454601,Noncomp,All,,,,
Liu et al ,2019,Fig. S3F,Thiacloprid,Insecticide,13 days,0.2 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bombella,Bombella apis,,N,25283950.62,21530864.2,-0.1484375000,,-0.231815675,Noncomp,All,,,,
Motta et al ,2020,Fig. S6C,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,1141804.165,970311.0892,-0.1501948245,,-0.234795965,Noncomp,All,,,,
Jones et al ,2018,Table S2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,,,,Y,,,,-0.24,-0.24,Comp,All,,,,
Jones et al ,2018,Table S2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,,,,-0.24,-0.24,Comp,All,,,,
Raymann et al,2018,Fig. S1A,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.112011173,0.094972067,-0.1521197007,,-0.23806749,Comp,All,,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,0.050828729,0.043093923,-0.1521739130,,-0.238159737,Comp,All,,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,15 days,1 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,0.535911602,0.454143646,-0.1525773196,,-0.238846353,Comp,All,,,,
Motta and Moran,2020,Fig. S1F,Glyphosate,Herbicide,20 days,0.01mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,2.878228782,2.435424354,-0.1538461538,,-0.2410081,Comp,All,,,,
Motta et al ,2020,Fig. S5B,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,5829459.566,4922196.107,-0.1556342315,,-0.244060003,Noncomp,All,,,,
Motta et al ,2020,Fig. S5D,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,12424076.36,10470764.64,-0.1572198741,,-0.246771801,Noncomp,All,,,,
Motta et al ,2018,Fig. S3B,Glyphosate,Herbicide,"Feeding (5 µL), then two days, then fed again, then sampled after another two days",1 mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,Frischella perrara,,N,1115241,936802,-0.1600003945,,-0.251539445,Noncomp,All,,,,
Motta et al ,2020,Fig. 2G,Roundup,Herbicide formulation,3 days,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,13232653.21,11092652.65,-0.1617212003,,-0.254497951,Noncomp,All,,,,
Motta et al ,2020,Fig. S4J,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0.000562341,0.000471061,-0.1623223599,,-0.25553293,Noncomp,All,,,,
Kakumanu et al,2016,Fig. 2,Coumaphos,Insecticide,6 weeks,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,,N,1.35,1.13,-0.1629629630,,-0.256636635,Comp,All,,,,
Motta and Moran,2020,Fig. S1M,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,2.157980456,1.803745928,-0.1641509434,,-0.258685661,Comp,All,,,,
Motta et al ,2020,Fig. S5G,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,1379700.896,1150619.95,-0.1660366727,,-0.261944151,Noncomp,All,,,,
Paris et al ,2020,Fig. S5,Thiamethoxam,Insecticide,17 days,1.5 µg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,,N,21.6330859,18.02757158,-0.1666666667,,-0.263034406,Comp,All,,,,
Motta and Moran,2020,Fig. S2E,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,10103789.86,8390093.799,-0.1696092339,,-0.268137694,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2E,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,10103789.86,8390093.799,-0.1696092339,,-0.268137694,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2F,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,1323188.207,1097843.767,-0.1703041479,,-0.269345521,Noncomp,All,,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,0.440883978,0.365745856,-0.1704260652,,-0.269557529,Comp,All,,,,
Motta and Moran,2020,Fig. S2B,Glyphosate,Herbicide,15 days,0.01mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,7724526.253,6389869.532,-0.1727816927,,-0.27365998,Noncomp,All,,,,
Jones et al ,2018,Table S2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,Frischella perrara,,N,,,,-0.27,-0.27,Comp,All,,,,
Motta et al ,2018,Fig. 1B,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,2355140.187,1943925.234,-0.1746031746,,-0.276840205,Noncomp,All,,,,
Jones et al ,2018,Fig. 2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,Frischella perrara,,N,16.42607174,13.54768154,-0.1752330226,,-0.277941525,Comp,All,,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,0.04851752,0.039892183,-0.1777777778,,-0.282399731,Comp,All,,,,
Kakumanu et al,2016,Fig. 2,Tau-fluvalinate,Insecticide,8 weeks,,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,,,,,Y,12.61,10.35,-0.1792228390,,-0.284937508,Comp,All,,,,
Motta et al ,2020,Fig. 2F,Roundup,Herbicide formulation,3 days,0.10%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,7533030.173,6170058.38,-0.1809327405,,-0.287946168,Noncomp,All,,,,
Motta et al ,2020,Fig. S5C,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,522165.5541,426714.0929,-0.1827992301,,-0.291237532,Noncomp,All,,,,
Motta et al ,2020,Fig. S4E,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,Lactobacillus apis,Y,2394133.049,1955736.963,-0.1831126662,,-0.291790981,Noncomp,All,,,,
Blot et al ,2019,Fig. 1,Glyphosate,Herbicide,15 days,1.5 mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,,,,-0.2927,-0.2927,Noncomp,All,,,,
