Author,Year,Data Source,Pesticide,Pesttype,Duration,Concentration,Kingdom,Phylum,Class,Order,Family,Genus,Species,Original Species Provided,Core,Control,Treatment,Percent Change,Log2fold.change,All.Logs,result,Type,Sig,Extra Information About Effect Size,,,
Motta et al ,2020b,Fig. S2B,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,3.01E+07,31044941.56,0.0321194852,,0.045609997,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2B,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,3.01E+07,31044941.56,0.0321194852,,0.045609997,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020a,Fig. S6B,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,3127574.53,3220974.009,0.0298632306,,0.042452755,Increase,Noncomp,All,Week 7,,,
Rouze et al ,2019,Fig. 2C,Fipronil,Insecticide,15 days,1 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,,,,0.04216,0.04216,Increase,Noncomp,All,summer,,,
Paris et al ,2020,Fig. 3,Boscalid,Fungicide,17 days,100 µg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,,,Y,29.89195678,30.73229292,0.0281124498,,0.039998068,Increase,Comp,All,RNA,,,
Jones et al ,2018,Fig. 2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Gilliamella apicola,,Y,41.04986877,42.00787402,0.0233375959,,0.033282164,Increase,Comp,All,,,,
Rouze et al ,2019,Fig. 2H,Fipronil,Insecticide,18 days,0.25 µg/kg,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,,,,0.0332,0.0332,Increase,Noncomp,All,summer,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.084803922,0.086764706,0.0231213873,,0.032977322,Increase,Comp,All,Day 3,,,
Paris et al ,2020,Fig. S5,Thiamethoxam,Insecticide,17 days,1.5 µg/L,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,,,,,Y,13.99787911,14.31601273,0.0227272727,,0.032421478,Increase,Comp,All,DNA,,,
Blot et al ,2019,Fig. 1,AMPA ,Herbicide,15 days,1.5 mM,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,,,,0.0304,0.0304,Increase,Noncomp,All,summer,,,
Motta et al ,2020b,Fig. S1K,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,29.37965261,29.9751861,0.0202702703,,0.028951374,Increase,Comp,All,Late exposure,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,0.8 mg/L,Bacteria,Proteobacteria,Betaproteobacteria,,,,,,Y,5.109,5.203,0.0185185185,,0.026472211,Increase,Comp,All,,,,
Motta et al ,2020b,Fig. S1L,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,42.27330779,43.03959132,0.0181268882,,0.025917374,Increase,Comp,All,Late exposure,,,
Rouze et al ,2019,Fig. 2E,Coumaphos,Insecticide,18 days,650 µg/kg,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,Y,,,,0.0207,0.0207,Increase,Noncomp,All,summer,,,
Rouze et al ,2019,Fig. 2G,Fipronil,Insecticide,18 days,0.25 µg/kg,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,,,,0.0207,0.0207,Increase,Noncomp,All,summer,,,
Motta et al ,2020b,Fig. S1E,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.968553459,0.981132075,0.0129870130,,0.018615678,Increase,Comp,All,Early exposure,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Izhakiella,,,N,0.2851,0.2882,0.0108733778,,0.015602296,Increase,Comp,All,,,,
Wintermantel et al ,2018,Fig. 4,Clothianidin,Insecticide,23-38 days,NA - Field relastic dose,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,4.725168756,4.773384764,0.0102040816,,0.014646776,Increase,Noncomp,All,Log10 microorganism abundance,,,Actual increase = 1.10%
Motta et al ,2020a,Fig. S6E,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,2444369.068,2468914.34,0.0100415570,,0.014414652,Increase,Noncomp,All,Week 0 ,,,
Motta et al ,2020a,Fig. 5B,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,1855236.694,1864702.699,0.0051023165,,0.007342371,Increase,Noncomp,All,Week 0 ,,,
Motta et al ,2020b,Fig. S1L,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,36.01532567,36.14303959,0.0035460993,,0.00510689,Increase,Comp,All,Late exposure,,,
Rouze et al ,2019,Fig. 2F,Coumaphos,Insecticide,18 days,650 µg/kg,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,,,,0.0021,0.0021,Increase,Noncomp,All,summer,,,
Raymann et al,2018,Fig. S1A,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,0.000697674,0.000697674,0.0000000000,,6.40685E-14,Increase,Comp,All,Day 3 post exposure,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,,,N,0.0016,0.0016,0.0000000000,,1.24934E-14,Increase,Comp,All,,,,
Motta et al ,2020b,Fig. S2D,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,493552.4741,493552.4741,0.0000000000,,6.08651E-15,Increase,Noncomp,All,Early exposure,,,
Blot et al ,2019,Fig. 1,AMPA ,Herbicide,15 days,7.5 mM,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,,N,,,,4.44E-16,4.441E-16,Increase,Noncomp,All,summer,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.0016,0.0016,0.0000000000,,0,No Change,Comp,All,,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,0.8 mg/L,Bacteria,Chloroflexi,,,,,KD4-96,,N,1.041,1.041,0.0000000000,,0,No Change,Comp,All,,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,4 mg/L,Bacteria,Chloroflexi,,,,,KD4-96,,N,1.041,1.041,0.0000000000,,0,No Change,Comp,All,,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,0.8 mg/L,Bacteria,Firmicutes,Bacilli,,,,,,Y,4.068,4.068,0.0000000000,,0,No Change,Comp,All,,,,
Kakumanu et al,2016,Fig. 2,Chlorothalonil,Fungicide,6 weeks,10 ppb,Bacteria,,,Steptophyta,,,,,N,1.16,1.16,0.0000000000,,0,No Change,Comp,All,,,,
Kakumanu et al,2016,Fig. 2,Coumaphos,Insecticide,6 weeks,,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,,,,,Y,3.15,3.15,0.0000000000,,0,No Change,Comp,All,,,,
Liu et al ,2019,Fig. S3D,Thiacloprid,Insecticide,13 days,0.2 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,Frischella perrara,,N,235988.2006,235988.2006,0.0000000000,,0,No Change,Noncomp,All,,,,
Liu et al ,2019,Fig. S3D,Thiacloprid,Insecticide,13 days,0.6 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,Frischella perrara,,N,235988.2006,235988.2006,0.0000000000,,0,No Change,Noncomp,All,,,,
Liu et al ,2019,Fig. S3H,Thiacloprid,Insecticide,13 days,2.0 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,8652037.618,8652037.618,0.0000000000,,0,No Change,Noncomp,All,,,,
Motta et al ,2020b,Fig. S2D,Glyphosate,Herbicide,10 days,0.1mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,75857.7575,75857.7575,0.0000000000,,0,No Change,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2F,Glyphosate,Herbicide,20 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,3471686.819,3471686.819,0.0000000000,,0,No Change,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1H,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1.100917431,1.100917431,0.0000000000,,0,No Change,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1Q,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,6.59E-15,6.59E-15,0.0000000000,,0,No Change,Comp,All,Late exposure,,,
Motta et al ,2020b,Fig. S1Q,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,6.59E-15,6.59E-15,0.0000000000,,0,No Change,Comp,All,Late exposure,,,
Motta et al ,2020b,Fig. S2O,Glyphosate,Herbicide,5 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1,1,0.0000000000,,0,No Change,Noncomp,All,Late exposure,,,
Motta et al ,2020b,Fig. S2O,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1,1,0.0000000000,,0,No Change,Noncomp,All,Late exposure,,,
Motta et al ,2020b,Fig. S2O,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1,1,0.0000000000,,0,No Change,Noncomp,All,Late exposure,,,
Motta et al ,2020a,Fig. S6F,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,1564028.29,1564028.29,0.0000000000,,0,No Change,Noncomp,All,Week 4,,,
Motta et al ,2020a,Fig. S6E,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,4341834.194,4341834.194,0.0000000000,,0,No Change,Noncomp,All,Week 3,,,
Motta et al ,2020a,Fig. S6B,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,3127574.53,3127574.53,0.0000000000,,0,No Change,Noncomp,All,Week 7,,,
Motta et al ,2020a,Fig. S6E,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,4192623.702,4192623.702,0.0000000000,,0,No Change,Noncomp,All,Week 1,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,Alpha 2.1,,N,0.003494624,0.003494624,0.0000000000,,0,No Change,Comp,All,Day 0,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Firmicutes,Bacilli,,,,unclassified Bacilli,,Y,3.3,3.3,0.0000000000,,0,No Change,Comp,All,,,,
Paris et al ,2020,Fig. S5,Fipronil ,Insecticide,17 days,0.5 µg/L,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,,N,0,0,#DIV/0!,,0,#DIV/0!,Comp,All,DNA,,,
Paris et al ,2020,Fig. 3,Thiamethoxam,Insecticide,17 days,1.5 µg/L,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,,,,,Y,4.801920768,4.801920768,0.0000000000,,0,No Change,Comp,All,RNA,,,
Raymann et al,2018,Fig. S1A,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,0.00E+00,0.000E+00,#DIV/0!,,0,#DIV/0!,Comp,All,Day 5 post exposure,,,
Raymann et al,2018,Fig. S1B,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,0,0.000E+00,#DIV/0!,,0,#DIV/0!,Noncomp,All,Day 5 post exposure,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,15 days,1 mg/L,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,N,0,0,#DIV/0!,,0,#DIV/0!,Comp,All,Apis mellifera,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,,,N,0,0,#DIV/0!,,0,#DIV/0!,Comp,All,Apis cerana,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,,,N,0,0,#DIV/0!,,0,#DIV/0!,Comp,All,Apis mellifera,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,,,N,0,0,#DIV/0!,,0,#DIV/0!,Comp,All,Apis mellifera,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Saccharibacter,,,N,0,0,#DIV/0!,,0,#DIV/0!,Comp,All,Apis cerana,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,15 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,,,N,0,0,#DIV/0!,,0,#DIV/0!,Comp,All,Apis mellifera,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,15 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,,,N,0,0,#DIV/0!,,0,#DIV/0!,Comp,All,Apis mellifera,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,,,N,0,0,#DIV/0!,,0,#DIV/0!,Comp,All,Apis mellifera,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,,,N,0,0,#DIV/0!,,0,#DIV/0!,Comp,All,Apis mellifera,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Saccharibacter,,,N,0,0,#DIV/0!,,0,#DIV/0!,Comp,All,Apis cerana,,,
Kakumanu et al,2016,Fig. 2,Chlorothalonil,Fungicide,6 weeks,10 ppb,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,,,,,Y,3.15,3.15,0.0000000000,,-6.56702E-15,Decrease,Comp,All,,,,
Motta et al ,2020b,Fig. S2O,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1,1,0.0000000000,,-7.20771E-15,Decrease,Noncomp,All,Late exposure,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,30 days,1 mg/L,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,N,0.022099448,0.022099448,0.0000000000,,-7.20771E-15,Decrease,Comp,All,Apis cerana,,,
Motta et al ,2020a,Fig. S6E,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,7013856.629,6978904.619,-0.0049832798,,-0.007207326,Decrease,Noncomp,All,Week 4,,,
Motta et al ,2020b,Fig. S1C,Glyphosate,Herbicide,15 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,46.10492846,45.78696343,-0.0068965517,,-0.009984089,Decrease,Comp,All,Early exposure,,,
Motta et al ,2020a,Fig. S6D,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,4565740.16,4532799.797,-0.0072146819,,-0.010446315,Decrease,Noncomp,All,Week 0 ,,,
Motta et al ,2020b,Fig. S1K,Glyphosate,Herbicide,15 days,0.01mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,29.37965261,29.08188586,-0.0101351351,,-0.014696511,Decrease,Comp,All,Late exposure,,,
Rothman et al ,2020,Fig. 3A,Imidacloprid,Insecticide,4 days,0.001 mg/L,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,9.496124031,9.399224806,-0.0102040816,,-0.014797002,Decrease,Comp,All,,,,
Motta et al ,2020b,Fig. S1C,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,46.10492846,45.62798092,-0.0103448276,,-0.015002163,Decrease,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1L,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,37.16475096,36.65389527,-0.0137457045,,-0.019968416,Decrease,Comp,All,Late exposure,,,
Paris et al ,2020,Fig. S5,Boscalid,Fungicide,17 days,100 µg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,,,Y,21.42099682,21.1028632,-0.0148514851,,-0.021586862,Decrease,Comp,All,DNA,,,
Motta et al ,2020a,Fig. S6E,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,4341834.194,4277247.396,-0.0148754640,,-0.021621978,Decrease,Noncomp,All,Week 3,,,
Motta et al ,2020a,Fig. S5E,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,4380460.94,4311911.835,-0.0156488339,,-0.022755008,Decrease,Noncomp,All,Week 0 ,,,
Paris et al ,2020,Fig. S5,Thiamethoxam,Insecticide,17 days,1.5 µg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,,,,,Y,37.85790032,37.22163309,-0.0168067227,,-0.024453044,Decrease,Comp,All,DNA,,,
Jones et al ,2018,Fig. 2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,,Y,0.686789151,0.673665792,-0.0191082803,,-0.027834208,Decrease,Comp,All,,,,
Motta et al ,2020b,Fig. S1K,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,24.81389578,24.31761787,-0.0200000000,,-0.029146346,Decrease,Comp,All,Late exposure,,,
Motta et al ,2020a,Fig. S6D,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,6370379.129,6233490.725,-0.0214882665,,-0.031338944,Decrease,Noncomp,All,Week 7,,,
Motta et al ,2020b,Fig. S2K,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,1098017.184,1072647.075,-0.0231053847,,-0.033725158,Decrease,Noncomp,All,Late exposure,,,
Rouze et al ,2019,Fig. 2A,Coumaphos,Herbicide,18 days,650 µg/kg,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,,N,,,,-0.0339,-0.0339,Decrease,Noncomp,All,winter,,,
Motta et al ,2020a,Fig. S4G,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,4013366.044,3917260.525,-0.0239463627,,-0.034967664,Decrease,Noncomp,All,Week 4,,,
Motta et al ,2020b,Fig. S1L,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,36.01532567,35.12132822,-0.0248226950,,-0.036263544,Decrease,Comp,All,Late exposure,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,0.8 mg/L,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,N,3.690,3.595,-0.0256410256,,-0.037474705,Decrease,Comp,All,,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,0.8 mg/L,Bacteria,Acidobacteria,Blastocatellia,,,,,,N,3.595,3.500,-0.0263157895,,-0.038474148,Decrease,Comp,All,,,,
Motta et al ,2020b,Fig. S1M,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,2.157980456,2.096905537,-0.0283018868,,-0.041419927,Decrease,Comp,All,Late exposure,,,
Rouze et al ,2019,Fig. 2E,Imidacloprid,Insecticide,18 days,3.5 µg/kg,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,Y,,,,-0.0415,-0.0415,Decrease,Noncomp,All,summer,,,
Rouze et al ,2019,Fig. 2A,Imidacloprid,Insecticide,18 days,3.5 µg/kg,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,,N,,,,-0.0424,-0.0424,Decrease,Noncomp,All,winter,,,
Jones et al ,2018,Fig. 2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,,,,Y,2.252843395,2.187226597,-0.0291262136,,-0.042644337,Decrease,Comp,All,,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.067156863,0.065196078,-0.0291970803,,-0.042749647,Decrease,Comp,All,Day 0,,,
Motta et al ,2020a,Fig. S6G,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,1145047.57,1111096.128,-0.0296506829,,-0.043423897,Decrease,Noncomp,All,Week 7,,,
Motta et al ,2020b,Fig. S2E,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,10103789.86,9795607.84,-0.0305016256,,-0.044689616,Decrease,Noncomp,All,Early exposure,,,
Motta et al ,2020a,Fig. S5E,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,3943243.047,3820794.381,-0.0310527818,,-0.045510016,Decrease,Noncomp,All,Week 3,,,
Motta et al ,2020b,Fig. S2B,Glyphosate,Herbicide,20 days,0.1mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,15485718.13,15003803.68,-0.0311199291,,-0.045609997,Decrease,Noncomp,All,Early exposure,,,
Motta et al ,2020a,Fig. S5G,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,975545.01,943866.1132,-0.0324730244,,-0.047626209,Decrease,Noncomp,All,Week 0 ,,,
Motta et al ,2020a,Fig. S6F,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,507032.7024,490509.5666,-0.0325879095,,-0.047797527,Decrease,Noncomp,All,Week 0 ,,,
Blot et al ,2019,Fig. 1,AMPA ,Herbicide,15 days,7.5 mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,,,,-0.0488,-0.0488,Decrease,Noncomp,All,summer,,,
Motta et al ,2020a,Fig. S5B,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,8937893.049,8625174.997,-0.0349878936,,-0.051381053,Decrease,Noncomp,All,Week 1,,,
Motta et al ,2020b,Fig. S1J,Glyphosate,Herbicide,15 days,0.01mM,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,9.530685921,9.133574007,-0.0416666667,,-0.061400545,Decrease,Comp,All,Late exposure,,,
